#header,,,,,,
map,condition,currentlyOccupied,umLength,prevOccupied,numRegrow,totalAdded
F67A_3,control,16,44.91,4,0,3
F67A_2,control,24,72.56,3,0,2
F67B_3,control,17,93.06,2,1,4
F67B_2,control,19,67.98,6,1,2
F67B_1,control,36,141.42,6,0,7
F67B_0,control,26,144.65,7,2,7
F58A2_5,control,20,96.22,6,1,3
F58A2_3,control,22,84.54,1,0,2
F58A2_2,control,5,31.19,3,0,1
F58A2_0,control,39,93.19,9,0,6
F58B_7,control,9,43.97,2,1,2
F58B_6,control,14,66.27,1,0,2
F58B_4,control,19,57.38,2,0,2
F58B_3,control,13,34.08,2,1,2
F58B_2,control,17,66.49,3,1,4
F58B_0,control,20,83.42,3,1,4
F59A_5,control,11,66.46,2,1,3
F59A_4,control,6,24.08,2,0,1
F59A_3,control,15,98.02,4,0,1
F59A_2,control,23,77.56,2,0,4
F59A_0,control,12,54.25,2,0,4
F59B_5,control,10,34.61,2,1,1
F59B_4,control,12,59.27,3,0,1
F59B_2,control,23,78.9,2,0,3
F59C_4,control,8,42.47,3,0,2
F59C_2,control,16,81.14,1,1,3
F59C_1,control,25,102.12,5,1,4
F4117A_8,control,8,41.15,2,0,2
F4117A_7,control,14,48.59,2,0,3
F4117A_6,control,10,34.61,1,1,2
F4117A_2,control,28,66.44,2,0,4
F4117A_0,control,34,96.28,3,2,4
F4117C_6,control,13,50.8,1,0,1
F4117C_3,control,25,63.31,1,0,1
F4117C_1,control,14,62.42,5,0,2
F4117C_0,control,20,60.19,2,0,1
F4117D_2,control,19,64.34,2,0,5
F4117D_1,control,24,66.82,2,1,1
F4117D_0,control,8,27.66,3,0,1
F68A_3,control,18,48.5,2,0,4
F68A_2,control,18,49.11,3,0,6
F68A_1,control,24,48.93,4,1,3
F68A_0,control,17,52.92,6,1,4
F68B_3,control,4,21.03,2,0,1
F68B_2,control,8,24.47,2,1,1
F68B_1,control,14,67.85,1,0,2
F68B_0,control,33,64.99,12,3,9
F68C_8,control,15,37.66,7,5,7
F68C_7,control,9,39.54,2,0,5
F68C_6,control,15,48.86,4,1,3
F68C_5,control,24,58.26,2,0,4
F68C_4,control,26,57.22,2,0,2
F68C_2,control,10,45.94,4,2,7
F68C_1,control,10,33.92,4,1,3
F68C_0,control,8,21.05,2,0,3
