# header
map,condition,currentlyOccupied,umLength,prevOccupied,numRegrow,totalAdded
F58A2_5,oil,16,96.222,10,2,3
F58A2_3,oil,15,84.539,6,1,1
F58A2_1,oil,9,51.069,2,0,3
F58A2_0,oil,25,96.287,18,4,7
F58B_8,oil,13,50.694,4,0,0
F58B_7,oil,10,50.752,3,2,5
F58B_6,oil,15,66.268,5,1,4
F58B_4,oil,16,65.684,7,0,0
F58B_3,oil,9,34.084,3,1,1
F58B_2,oil,15,66.49,11,0,3
F58B_0,oil,19,91.131,4,1,4
F59A_4,oil,5,24.077,2,0,0
F59A_3,oil,15,102.42,3,0,5
F59A_2,oil,18,77.623,5,1,7
F59A_0,oil,11,54.254,4,1,4
F59B_5,oil,6,34.611,3,0,3
F59B_2,oil,20,80.57,6,1,2
F59B_1,oil,13,50.928,2,0,2
F59B_0,oil,14,47.889,1,1,3
F59C_4,oil,9,44.309,1,0,1
F59C_3,oil,10,36.421,0,0,1
F59C_2,oil,17,81.136,2,1,4
F59C_1,oil,24,102.12,10,1,5
F59C_0,oil,15,43.178,2,1,2
F56A_0,oil,35,164.27,12,0,4
F56A_1,oil,11,55.515,2,0,0
F56A_2,oil,12,61.678,3,0,3
F56A_3,oil,14,44.443,5,2,2
F56A_6,oil,12,76.062,8,1,6
F56A_5,oil,16,62.687,3,0,2
F56A_4,oil,16,56.596,5,0,4
F55C_5,oil,10,66.845,7,0,3
F55C_3,oil,20,88.653,8,2,7
F55C_1,oil,18,72.775,7,1,4
F55C_0,oil,17,81.018,9,0,5
F54B_5,e2,6,31.103,3,0,1
F54B_3,e2,11,56.671,5,0,2
F54B_2,e2,2,27.029,5,2,3
F54B_0,e2,15,65.644,4,1,6
F54A_9,e2,6,27.133,2,0,2
F54A_7,e2,7,18.728,2,0,2
F54A_6,e2,9,45.269,5,1,2
F54A_5,e2,11,66.127,3,1,2
F54A_4,e2,6,21.163,1,0,1
F54A_3,e2,14,78.816,5,1,6
F54A_2,e2,13,49.925,6,2,6
F54A_1,e2,6,40.795,1,0,0
F54A_0,e2,14,56.591,6,0,6
F56A_0,e2,35,164.27,12,0,6
F56A_1,e2,11,55.515,2,0,2
F56A_2,e2,12,61.678,3,2,5
F56A_3,e2,14,44.619,5,3,6
F67A_3,e2,13,44.912,5,2,8
F67A_2,e2,23,72.559,4,1,7
F67B_2,e2,16,67.983,3,0,1
F67B_1,e2,32,141.42,12,2,8
F67B_0,e2,27,144.65,7,3,4
F57C_0,e2,20,61.028,4,2,5
F57B_3,e2,8,58.587,5,1,5
F57B_2,e2,12,35.459,4,1,3
F57B_1,e2,12,85.223,5,1,10
F57B_0,e2,15,52.368,4,0,3
F57A_1,e2,5,28.214,3,1,3
